615 36 -5 -3 1 -2 -3 3 4 -5 20 2 -8 2
36 150 15 6 0 5 6 -6 -24 -5 1 8 -2 0
-5 15 60 -1 0 -4 6 4 72 7 -1 1 1 -5
-3 6 -1 30 4 71 24 -4 -2 0 -3 3 2 -3
1 0 0 4 675 9 -4 -4 0 1 1 -2 -1 0
-2 5 -4 71 9 595 16 -5 2 0 -2 2 2 -2
-3 6 6 24 -4 16 435 -4 -5 1 -2 3 3 -3
3 -6 4 -4 -4 -5 -4 425 24 43 5 -1 -2 1
4 -24 72 -2 0 2 -5 24 685 -2 4 -1 -2 2
-5 -5 7 0 1 0 1 43 -2 0 -26 13 6 -1
20 1 -1 -3 1 -2 -2 5 4 -26 160 99 -3 1
2 8 1 3 -2 2 3 -1 -1 13 99 150 0 0
-8 -2 1 2 -1 2 3 -2 -2 6 -3 0 50 -36
2 0 -5 -3 0 -2 -3 1 2 -1 1 0 -36 150
