    0	  363	 -102	   30	    0	    0	    0	    0	    0	    0	    0	    0	    0	   29	 -102	  320	   13	    0	    0	    0	    0	    0	    0	  -53	
  363	  -84	  320	  -63	   29	    0	    0	    0	    0	    0	    0	    0	    0	    0	   30	  -63	   38	    0	    0	    0	    0	    0	    0	  8.4	
 -102	  320	    0	  363	 -102	   30	    0	    0	    0	    0	    0	    0	    0	    0	    0	   29	  -53	   13	    0	    0	    0	    0	    0	    0	
   30	  -63	  363	  -84	  320	  -63	   29	    0	    0	    0	    0	    0	    0	    0	    0	    0	  8.4	   38	    0	    0	    0	    0	    0	    0	
    0	   29	 -102	  320	    0	  363	 -102	   30	    0	    0	    0	    0	    0	    0	    0	    0	    0	  -53	   13	    0	    0	    0	    0	    0	
    0	    0	   30	  -63	  363	  -84	  320	  -63	   29	    0	    0	    0	    0	    0	    0	    0	    0	  8.4	   38	    0	    0	    0	    0	    0	
    0	    0	    0	   29	 -102	  320	    0	  363	 -102	   30	    0	    0	    0	    0	    0	    0	    0	    0	  -53	   13	    0	    0	    0	    0	
    0	    0	    0	    0	   30	  -63	  363	  -84	  320	  -63	   29	    0	    0	    0	    0	    0	    0	    0	  8.4	   38	    0	    0	    0	    0	
    0	    0	    0	    0	    0	   29	 -102	  320	    0	  363	 -102	   30	    0	    0	    0	    0	    0	    0	    0	  -53	   13	    0	    0	    0	
    0	    0	    0	    0	    0	    0	   30	  -63	  363	  -84	  320	  -63	   29	    0	    0	    0	    0	    0	    0	  8.4	   38	    0	    0	    0	
    0	    0	    0	    0	    0	    0	    0	   29	 -102	  320	    0	  363	 -102	   30	    0	    0	    0	    0	    0	    0	  -53	   13	    0	    0	
    0	    0	    0	    0	    0	    0	    0	    0	   30	  -63	  363	  -84	  320	  -63	   29	    0	    0	    0	    0	    0	  8.4	   38	    0	    0	
    0	    0	    0	    0	    0	    0	    0	    0	    0	   29	 -102	  320	    0	  363	 -102	   30	    0	    0	    0	    0	    0	  -53	   13	    0	
   29	    0	    0	    0	    0	    0	    0	    0	    0	    0	   30	  -63	  363	  -84	  320	  -63	    0	    0	    0	    0	    0	  8.4	   38	    0	
 -102	   30	    0	    0	    0	    0	    0	    0	    0	    0	    0	   29	 -102	  320	    0	  363	    0	    0	    0	    0	    0	    0	  -53	   13	
  320	  -63	   29	    0	    0	    0	    0	    0	    0	    0	    0	    0	   30	  -63	  363	  -84	    0	    0	    0	    0	    0	    0	  8.4	   38	
   13	   38	  -53	  8.4	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	  -25	 -3.2	    0	    0	    0	 -3.2	  -25	
    0	    0	   13	   38	  -53	  8.4	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	  -25	    0	  -25	 -3.2	    0	    0	    0	 -3.2	
    0	    0	    0	    0	   13	   38	  -53	  8.4	    0	    0	    0	    0	    0	    0	    0	    0	 -3.2	  -25	    0	  -25	 -3.2	    0	    0	    0	
    0	    0	    0	    0	    0	    0	   13	   38	  -53	  8.4	    0	    0	    0	    0	    0	    0	    0	 -3.2	  -25	    0	  -25	 -3.2	    0	    0	
    0	    0	    0	    0	    0	    0	    0	    0	   13	   38	  -53	  8.4	    0	    0	    0	    0	    0	    0	 -3.2	  -25	    0	  -25	 -3.2	    0	
    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   13	   38	  -53	  8.4	    0	    0	    0	    0	    0	 -3.2	  -25	    0	  -25	 -3.2	
    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   13	   38	  -53	  8.4	 -3.2	    0	    0	    0	 -3.2	  -25	    0	  -25	
  -53	  8.4	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   13	   38	  -25	 -3.2	    0	    0	    0	 -3.2	  -25	    0	

